tconst,titleType,type,startYear,genres,genre_family,averageRating,numVotes
tt0000574,movie,movie,1906,"Action,Adventure,Biography",Gemixt,6,1023
tt0002130,movie,movie,1911,"Adventure,Drama,Fantasy",Gemixt,7,3909
tt0002423,movie,movie,1919,"Biography,Drama,Romance",Gemixt,6.6,1096
tt0002844,movie,movie,1913,"Crime,Drama",Heavy,6.9,2666
tt0003014,movie,movie,1913,Drama,Heavy,7,1556
tt0003037,movie,movie,1913,"Crime,Drama",Heavy,6.9,1812
tt0003165,movie,movie,1913,"Crime,Drama,Mystery",Heavy,6.9,1442
tt0003419,movie,movie,1913,"Drama,Fantasy,Horror",Gemixt,6.4,2604
tt0003643,movie,movie,1914,"Crime,Drama,Horror",Heavy,6.4,1546
tt0003740,movie,movie,1914,"Adventure,Drama,History",Gemixt,7.1,4235
tt0003772,movie,movie,1914,"Drama,Fantasy",Gemixt,6,1127
tt0003930,movie,movie,1914,"Crime,Drama",Heavy,6.8,1529
tt0003952,movie,movie,1914,"Crime,Drama",Heavy,6.7,1296
tt0004026,movie,movie,1914,Horror,NA,6.7,1301
tt0004181,movie,movie,1914,Drama,Heavy,6.2,1513
tt0004465,movie,movie,1914,"Action,Adventure,Drama",Gemixt,6.3,1111
tt0004635,movie,movie,1914,"Action,Drama,Romance",Gemixt,5.7,1123
tt0004707,movie,movie,1914,Comedy,Escapist,6.2,3860
tt0004972,movie,movie,1915,"Drama,War",Heavy,6.1,27782
tt0005060,movie,movie,1915,"Drama,Musical",Heavy,6.3,1158
tt0005078,movie,movie,1915,"Drama,Romance",Gemixt,6.5,2974
tt0005339,movie,movie,1915,Drama,Heavy,5.7,1133
tt0005916,movie,movie,1915,"Drama,Horror",Heavy,6.8,1105
tt0005960,movie,movie,1915,"Biography,Crime,Drama",Heavy,6.8,1529
tt0006206,movie,movie,1915,"Action,Adventure,Crime",Gemixt,7.3,5756
tt0006333,movie,movie,1916,"Action,Adventure,Sci-Fi",Escapist,6.1,2171
tt0006780,movie,movie,1916,"Drama,Romance,Western",Gemixt,6.7,1152
tt0006864,movie,movie,1916,"Drama,History",Heavy,7.7,17618
tt0006886,movie,movie,1916,"Adventure,Crime",Gemixt,7.2,1207
tt0008443,movie,movie,1917,"Comedy,Drama,Family",Gemixt,6.7,1632
tt0008663,movie,movie,1917,"Drama,War",Heavy,7.3,2512
tt0008879,movie,movie,1918,Drama,Heavy,7.1,2249
tt0008891,movie,movie,1918,"Family,Fantasy",Escapist,6.9,1096
tt0009150,movie,movie,1918,"Drama,Romance,War",Gemixt,6.5,1159
tt0009369,movie,movie,1918,"Comedy,Drama",Gemixt,6.1,1210
tt0009652,movie,movie,1918,Drama,Heavy,6.9,1655
tt0009878,movie,movie,1919,"Crime,Drama,History",Heavy,7,1650
tt0009892,movie,movie,1919,"Drama,History,Romance",Gemixt,5.5,1280
tt0009893,movie,movie,1919,Comedy,Escapist,7.1,2344
tt0009900,movie,movie,1919,"Adventure,Drama,Romance",Gemixt,6.2,1007
tt0009937,movie,movie,1919,"Drama,Romance",Gemixt,6.9,1782
tt0009968,movie,movie,1919,"Drama,Romance",Gemixt,7.2,11595
tt0010040,movie,movie,1919,"Comedy,Drama,Musical",Gemixt,6.6,1510
tt0010071,movie,movie,1919,Comedy,Escapist,6.5,1312
tt0010247,movie,movie,1919,"Drama,History",Heavy,7.1,1658
tt0010267,movie,movie,1919,Comedy,Escapist,6.7,1070
tt0010281,movie,movie,1918,"Comedy,Romance",Escapist,6.8,1780
tt0010307,movie,movie,1919,"Drama,Horror,War",Heavy,7.7,2302
tt0010323,movie,movie,1920,"Horror,Mystery,Thriller",Heavy,8,74364
tt0010418,movie,movie,1919,"Adventure,Drama",Gemixt,7,2047
tt0010598,movie,movie,1919,Drama,Heavy,6.6,1135
tt0010600,movie,movie,1919,"Comedy,Fantasy,Sci-Fi",Escapist,7.4,2588
tt0010726,movie,movie,1919,"Adventure,Drama,Western",Gemixt,6.5,1579
tt0010806,movie,movie,1919,"Comedy,Drama,Romance",Gemixt,6.9,2104
tt0010879,movie,movie,1919,"Action,Comedy,Romance",Escapist,6.8,1037
tt0011000,movie,movie,1920,Drama,Heavy,6.6,1427
tt0011130,movie,movie,1920,"Drama,Horror,Sci-Fi",Heavy,6.9,6486
tt0011157,movie,movie,1920,"Comedy,Romance",Escapist,6.4,1114
tt0011221,movie,movie,1920,"Fantasy,Horror,Romance",Escapist,5.9,1234
tt0011237,movie,movie,1920,"Fantasy,Horror",Escapist,7.2,9221
tt0011387,movie,movie,1920,"Action,Adventure,Drama",Gemixt,6.7,1535
tt0011439,movie,movie,1920,"Adventure,Drama,Romance",Gemixt,7,2985
tt0011565,movie,movie,1920,"Crime,Drama,Horror",Heavy,7.3,2814
tt0011607,movie,movie,1920,"Comedy,Drama,Horror",Gemixt,7.1,1623
tt0011652,movie,movie,1920,"Comedy,Drama,Romance",Gemixt,6.1,1890
tt0011723,movie,movie,1920,Adventure,Escapist,6.1,1201
tt0011841,movie,movie,1920,"Drama,Romance",Gemixt,7.3,6192
tt0011865,movie,movie,1920,"Comedy,Drama",Gemixt,6.7,1550
tt0011870,movie,movie,1920,"Drama,Romance",Gemixt,6.4,3936
tt0011904,movie,movie,1921,"Crime,Drama,Mystery",Heavy,6.8,1428
tt0011909,movie,movie,1921,"Comedy,Drama",Gemixt,6.6,1411
tt0011960,movie,movie,1921,"Comedy,Drama,Romance",Gemixt,6.8,1419
tt0012027,movie,movie,1921,"Drama,Romance",Gemixt,6.5,1111
tt0012190,movie,movie,1921,"Drama,Romance,War",Gemixt,7.1,3762
tt0012349,movie,movie,1921,"Comedy,Drama,Family",Gemixt,8.2,143081
tt0012364,movie,movie,1921,"Drama,Fantasy,Horror",Gemixt,8,15266
tt0012494,movie,movie,1921,"Drama,Fantasy,Horror",Gemixt,7.6,7148
tt0012532,movie,movie,1921,"Drama,History,Romance",Gemixt,7.3,5686
tt0012642,movie,movie,1921,"Action,Adventure,Comedy",Escapist,6.8,1350
tt0012651,movie,movie,1921,"Crime,Drama,Horror",Heavy,6.1,2207
tt0012675,movie,movie,1921,"Adventure,Drama,Romance",Gemixt,6.2,3855
tt0012752,movie,movie,1921,"Action,Adventure,Family",Escapist,6.9,1235
tt0012763,movie,movie,1921,Drama,Heavy,7.1,2014
tt0012938,movie,movie,1922,"Drama,Romance",Gemixt,6.7,2453
tt0012952,movie,movie,1922,"Drama,Romance,Sport",Gemixt,6.3,1623
tt0013075,movie,movie,1922,"Comedy,Romance",Escapist,7.1,1767
tt0013086,movie,movie,1922,"Crime,Mystery,Thriller",Heavy,7.8,9721
tt0013140,movie,movie,1922,"Drama,Thriller",Heavy,7,4286
tt0013201,movie,movie,1922,"Comedy,Family",Escapist,7,2168
tt0013257,movie,movie,1922,"Documentary,Fantasy,Horror",Gemixt,7.6,18387
tt0013427,movie,movie,1922,Documentary,Heavy,7.6,14125
tt0013442,movie,movie,1922,"Fantasy,Horror",Escapist,7.8,120568
tt0013496,movie,movie,1922,"Drama,Romance",Gemixt,6.7,2062
tt0013556,movie,movie,1922,"Adventure,Family,Romance",Escapist,7,2621
tt0013571,movie,movie,1922,"Biography,Drama,History",Heavy,6.6,1334
tt0013579,movie,movie,1923,"Drama,Fantasy,Horror",Gemixt,6.6,1196
tt0013750,movie,movie,1922,"Drama,Romance",Gemixt,6.6,1162
tt0013933,movie,movie,1923,"Drama,Romance",Gemixt,7.4,1560
tt0014029,movie,movie,1923,"Comedy,Romance",Escapist,6.7,1248
tt0014109,movie,movie,1924,"Drama,Romance",Gemixt,7,1492
tt0014142,movie,movie,1923,"Drama,Horror,Romance",Gemixt,7.2,6609
tt0014205,movie,movie,1923,"Comedy,Romance",Escapist,6.3,1150
tt0014341,movie,movie,1923,"Comedy,Romance,Thriller",Gemixt,7.7,13252
tt0014358,movie,movie,1923,"Comedy,Western",Escapist,7.2,6017
tt0014417,movie,movie,1923,Drama,Heavy,7.5,2727
tt0014429,movie,movie,1923,"Comedy,Romance,Thriller",Gemixt,8.1,24303
tt0014497,movie,movie,1923,"Comedy,Drama,Romance",Gemixt,7,1181
tt0014532,movie,movie,1923,"Biography,Drama,History",Heavy,6.8,2878
tt0014538,movie,movie,1923,Comedy,Escapist,7,5629
tt0014586,movie,movie,1924,"Fantasy,Horror",Escapist,6.6,2504
tt0014611,movie,movie,1923,"Adventure,Comedy,Family",Escapist,7.3,2187
tt0014624,movie,movie,1923,"Drama,Romance",Gemixt,6.9,6720
tt0014646,movie,movie,1924,"Adventure,Comedy,Drama",Gemixt,6.3,3063
tt0014900,movie,movie,1924,Comedy,Escapist,6.2,1044
