iso_week,artist,playlists
2024-W01,10 Beats to Phoenix,24
2024-W02,10 Beats to Phoenix,28
2024-W03,10 Beats to Phoenix,28
2024-W04,10 Beats to Phoenix,27
2024-W06,10 Beats to Phoenix,NA
2024-W07,10 Beats to Phoenix,25
2024-W08,10 Beats to Phoenix,15
2024-W11,10 Beats to Phoenix,61
2024-W12,10 Beats to Phoenix,22
2024-W14,10 Beats to Phoenix,23
2024-W15,10 Beats to Phoenix,24
2024-W16,10 Beats to Phoenix,41
2024-W17,10 Beats to Phoenix,32
2024-W18,10 Beats to Phoenix,NA
2024-W19,10 Beats to Phoenix,40
2024-W20,10 Beats to Phoenix,39
2024-W21,10 Beats to Phoenix,27
2024-W22,10 Beats to Phoenix,36
2024-W23,10 Beats to Phoenix,52
2024-W24,10 Beats to Phoenix,57
2024-W25,10 Beats to Phoenix,48
2024-W26,10 Beats to Phoenix,55
2024-W27,10 Beats to Phoenix,68
2024-W30,10 Beats to Phoenix,61
2024-W31,10 Beats to Phoenix,77
2024-W33,10 Beats to Phoenix,68
2024-W35,10 Beats to Phoenix,NA
2024-W36,10 Beats to Phoenix,71
2024-W37,10 Beats to Phoenix,78
2024-W38,10 Beats to Phoenix,76
2024-W39,10 Beats to Phoenix,94
2024-W40,10 Beats to Phoenix,81
2024-W41,10 Beats to Phoenix,84
2024-W42,10 Beats to Phoenix,98
2024-W43,10 Beats to Phoenix,84
2024-W44,10 Beats to Phoenix,97
2024-W45,10 Beats to Phoenix,85
2024-W47,10 Beats to Phoenix,104
2024-W48,10 Beats to Phoenix,106
2024-W49,10 Beats to Phoenix,101
2024-W51,10 Beats to Phoenix,NA
2024-W52,10 Beats to Phoenix,120
2024-W01,10 Notes to Wolves,280
2024-W02,10 Notes to Wolves,273
2024-W03,10 Notes to Wolves,271
2024-W04,10 Notes to Wolves,292
2024-W06,10 Notes to Wolves,312
2024-W07,10 Notes to Wolves,329
2024-W08,10 Notes to Wolves,314
2024-W11,10 Notes to Wolves,361
2024-W12,10 Notes to Wolves,360
2024-W14,10 Notes to Wolves,365
2024-W15,10 Notes to Wolves,410
2024-W16,10 Notes to Wolves,413
2024-W17,10 Notes to Wolves,414
2024-W18,10 Notes to Wolves,413
2024-W19,10 Notes to Wolves,446
2024-W20,10 Notes to Wolves,457
2024-W21,10 Notes to Wolves,464
2024-W22,10 Notes to Wolves,NA
2024-W23,10 Notes to Wolves,485
2024-W24,10 Notes to Wolves,508
2024-W25,10 Notes to Wolves,522
2024-W26,10 Notes to Wolves,531
2024-W27,10 Notes to Wolves,535
2024-W30,10 Notes to Wolves,587
2024-W31,10 Notes to Wolves,597
2024-W33,10 Notes to Wolves,644
2024-W35,10 Notes to Wolves,671
2024-W36,10 Notes to Wolves,694
2024-W37,10 Notes to Wolves,734
2024-W38,10 Notes to Wolves,748
2024-W39,10 Notes to Wolves,770
2024-W40,10 Notes to Wolves,804
2024-W41,10 Notes to Wolves,809
2024-W42,10 Notes to Wolves,811
2024-W43,10 Notes to Wolves,857
2024-W44,10 Notes to Wolves,890
2024-W45,10 Notes to Wolves,923
2024-W47,10 Notes to Wolves,942
2024-W48,10 Notes to Wolves,974
2024-W49,10 Notes to Wolves,998
2024-W51,10 Notes to Wolves,1064
2024-W52,10 Notes to Wolves,1084
2024-W01,30 Minutes to Mirage,396
2024-W02,30 Minutes to Mirage,382
2024-W03,30 Minutes to Mirage,386
2024-W04,30 Minutes to Mirage,397
2024-W06,30 Minutes to Mirage,402
2024-W07,30 Minutes to Mirage,424
2024-W08,30 Minutes to Mirage,413
2024-W11,30 Minutes to Mirage,430
2024-W12,30 Minutes to Mirage,435
2024-W14,30 Minutes to Mirage,457
2024-W15,30 Minutes to Mirage,458
2024-W16,30 Minutes to Mirage,471
2024-W17,30 Minutes to Mirage,471
2024-W18,30 Minutes to Mirage,473
2024-W19,30 Minutes to Mirage,499
2024-W20,30 Minutes to Mirage,491
2024-W21,30 Minutes to Mirage,511
2024-W22,30 Minutes to Mirage,497
2024-W23,30 Minutes to Mirage,511
2024-W24,30 Minutes to Mirage,521
2024-W25,30 Minutes to Mirage,527
2024-W26,30 Minutes to Mirage,552
2024-W27,30 Minutes to Mirage,546
2024-W30,30 Minutes to Mirage,564
2024-W31,30 Minutes to Mirage,589
2024-W33,30 Minutes to Mirage,609
2024-W35,30 Minutes to Mirage,634
2024-W36,30 Minutes to Mirage,633
2024-W37,30 Minutes to Mirage,631
2024-W38,30 Minutes to Mirage,648
2024-W39,30 Minutes to Mirage,NA
2024-W40,30 Minutes to Mirage,649
2024-W41,30 Minutes to Mirage,670
2024-W42,30 Minutes to Mirage,667
2024-W43,30 Minutes to Mirage,691
2024-W44,30 Minutes to Mirage,712
2024-W45,30 Minutes to Mirage,699
2024-W47,30 Minutes to Mirage,730
2024-W48,30 Minutes to Mirage,730
2024-W49,30 Minutes to Mirage,747
2024-W51,30 Minutes to Mirage,783
2024-W52,30 Minutes to Mirage,788
2024-W01,30 Minutes to Rebels,477
2024-W02,30 Minutes to Rebels,518
2024-W03,30 Minutes to Rebels,553
2024-W04,30 Minutes to Rebels,575
2024-W06,30 Minutes to Rebels,594
2024-W07,30 Minutes to Rebels,650
2024-W08,30 Minutes to Rebels,685
2024-W11,30 Minutes to Rebels,782
2024-W12,30 Minutes to Rebels,810
2024-W14,30 Minutes to Rebels,895
2024-W15,30 Minutes to Rebels,919
2024-W16,30 Minutes to Rebels,989
2024-W17,30 Minutes to Rebels,1032
2024-W18,30 Minutes to Rebels,1075
2024-W19,30 Minutes to Rebels,1099
2024-W20,30 Minutes to Rebels,1162
2024-W21,30 Minutes to Rebels,1228
2024-W22,30 Minutes to Rebels,1278
2024-W23,30 Minutes to Rebels,1340
2024-W24,30 Minutes to Rebels,1423
2024-W25,30 Minutes to Rebels,1455
2024-W26,30 Minutes to Rebels,1509
2024-W27,30 Minutes to Rebels,1604
2024-W30,30 Minutes to Rebels,1825
2024-W31,30 Minutes to Rebels,1940
2024-W33,30 Minutes to Rebels,2094
2024-W35,30 Minutes to Rebels,2305
2024-W36,30 Minutes to Rebels,2404
2024-W37,30 Minutes to Rebels,2497
2024-W38,30 Minutes to Rebels,2630
2024-W39,30 Minutes to Rebels,2759
2024-W40,30 Minutes to Rebels,2878
2024-W41,30 Minutes to Rebels,3018
2024-W42,30 Minutes to Rebels,3148
2024-W43,30 Minutes to Rebels,3295
2024-W44,30 Minutes to Rebels,3452
2024-W45,30 Minutes to Rebels,3616
2024-W47,30 Minutes to Rebels,3946
2024-W48,30 Minutes to Rebels,4128
2024-W49,30 Minutes to Rebels,4312
2024-W51,30 Minutes to Rebels,4721
2024-W52,30 Minutes to Rebels,4951
2024-W01,30 Minutes to Saints,484
2024-W02,30 Minutes to Saints,498
2024-W03,30 Minutes to Saints,526
2024-W04,30 Minutes to Saints,531
2024-W06,30 Minutes to Saints,578
2024-W07,30 Minutes to Saints,NA
2024-W08,30 Minutes to Saints,626
2024-W11,30 Minutes to Saints,687
2024-W12,30 Minutes to Saints,732
2024-W14,30 Minutes to Saints,765
2024-W15,30 Minutes to Saints,801
2024-W16,30 Minutes to Saints,838
2024-W17,30 Minutes to Saints,856
2024-W18,30 Minutes to Saints,883
2024-W19,30 Minutes to Saints,925
2024-W20,30 Minutes to Saints,966
2024-W21,30 Minutes to Saints,990
2024-W22,30 Minutes to Saints,1013
2024-W23,30 Minutes to Saints,1050
2024-W24,30 Minutes to Saints,1094
2024-W25,30 Minutes to Saints,1136
2024-W26,30 Minutes to Saints,1182
2024-W27,30 Minutes to Saints,1232
2024-W30,30 Minutes to Saints,1368
2024-W31,30 Minutes to Saints,1414
2024-W33,30 Minutes to Saints,1498
2024-W35,30 Minutes to Saints,1639
2024-W36,30 Minutes to Saints,1691
2024-W37,30 Minutes to Saints,1736
2024-W38,30 Minutes to Saints,1815
2024-W39,30 Minutes to Saints,1864
2024-W40,30 Minutes to Saints,1935
2024-W41,30 Minutes to Saints,2022
2024-W42,30 Minutes to Saints,2079
2024-W43,30 Minutes to Saints,2165
2024-W44,30 Minutes to Saints,2232
2024-W45,30 Minutes to Saints,2299
2024-W47,30 Minutes to Saints,2474
2024-W48,30 Minutes to Saints,2569
2024-W49,30 Minutes to Saints,2664
2024-W51,30 Minutes to Saints,2860
2024-W52,30 Minutes to Saints,2984
2024-W01,30 Ways to Storm,134
2024-W02,30 Ways to Storm,145
2024-W03,30 Ways to Storm,155
2024-W04,30 Ways to Storm,169
2024-W06,30 Ways to Storm,168
2024-W07,30 Ways to Storm,141
2024-W08,30 Ways to Storm,173
2024-W11,30 Ways to Storm,153
2024-W12,30 Ways to Storm,NA
2024-W14,30 Ways to Storm,193
2024-W15,30 Ways to Storm,160
2024-W16,30 Ways to Storm,177
2024-W17,30 Ways to Storm,188
2024-W18,30 Ways to Storm,174
2024-W19,30 Ways to Storm,175
2024-W20,30 Ways to Storm,176
2024-W21,30 Ways to Storm,187
2024-W22,30 Ways to Storm,197
2024-W23,30 Ways to Storm,192
2024-W24,30 Ways to Storm,190
2024-W25,30 Ways to Storm,185
2024-W26,30 Ways to Storm,195
2024-W27,30 Ways to Storm,187
2024-W30,30 Ways to Storm,203
2024-W31,30 Ways to Storm,203
2024-W33,30 Ways to Storm,214
2024-W35,30 Ways to Storm,200
